"HEADER";;;;;;
"Ankieta dotycząca udziału ludzi w życiu";;;;;;
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip . Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. ";;;;;;
;;;;;;
;;;;;;
"FOOTER";;;;;;
"Dziękujemy za udział w ankiecie!";;;;;;
"Wyślij!";;;;;;
"Zgłoszenie zostało wysłane.";;;;;;
;;;;;;
;;;;;;
"QUESTIONS";;;;;;
"Czy lubisz placki? Dlaczego tak.";"input";"null";;;;
"Bool";"bool";"null";"Zgadzam się";"Nie zgadzam się";;
"Checkbox";"checkbox";"OTHER:true";"Opcja pierwsza";"Opcja duga";"Opcja trzecia";"Opcja czwarta"
"Textarea";"textarea";"null";;;;
"Another input";"input";"null";;;;
"Radio";"radio";"OTHER:true";"Radio";"Radio2";"Radio3";"Radio4"
"Dropdown";"dropdown";"null";"Po pierwsze";"Po drugie";"Po trzecie";
"Range";"range";"RANGE:1/10";;;;
"Multi-radio";"multi-radio";"SCALE:Bardzo słabo/Słabo/Średnio/Dobrze/Bardzo dobrze";"Programowanie";"Projektowanie PCB";"Lutowanie";"Granie na nerwach"
